list = [
"1.49"
"0.86"
"1.12"
"1.25"
"3.45"
"1.12"
"1.12"
"0.87"
"1.29"
"0.95"
"0.64"
"1.31"
"2.48"
"1.50"
"1.07"
"1.13"
"2.15"
"0.87"
"1.81"
"1.46"
"1.25"
"1.63"
"2.15"
"6.65"
"4.04"
"2.49"
"1.39"
"1.35"
"1.81"
"1.13"
"1.64"
"3.67"
"0.56"
"2.65"
"2.64"
"3.04"
"1.23"
"1.05"
"1.62"
"3.11"
"2.38"
"2.11"
"2.69"
"1.16"
"3.33"
"3.79"
"1.29"
"2.11"
"6.55"
"1.19"
"3.06"
"0.48"
"0.24"
"0.53"
"3.36"
"3.47"
"2.73"
"1.87"
"5.94"
"4.23"
"3.51"
"3.57"
"3.10"
"3.32"
"4.57"
]
